name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
ngc500,1,22,39.37,5,23,14.2
ngc501,1,23,22.41,33,25,58.7
ngc502,1,22,55.54,9,2,57.1
ngc503,1,23,28.43,33,19,54.2
ngc504,1,23,27.9,33,12,16.0
ngc505,1,22,57.1,9,28,8.0
ngc506,1,23,35.35,33,14,40.8
ngc507,1,23,39.91,33,15,21.8
ngc508,1,23,40.6,33,16,49.0
ngc509,1,23,24.09,9,26,0.8
ngc510,1,23,55.56,33,29,48.8
ngc511,1,23,30.73,11,17,27.6
ngc512,1,23,59.8,33,54,28.0
ngc513,1,24,26.85,33,47,58.0
ngc514,1,24,3.9,12,55,2.6
ngc515,1,24,38.6,33,28,22.0
ngc516,1,24,8.07,9,33,6.1
ngc517,1,24,43.8,33,25,46.0
ngc518,1,24,17.64,9,19,51.4
ngc519,1,24,28.64,-1,38,28.5
ngc520,1,24,35.07,3,47,32.7
ngc0520 ned01,1,24,34.48,3,47,41.8
ngc0520 ned02,1,24,34.79,3,47,23.2
ngc521,1,24,33.78,1,43,53.0
ngc522,1,24,45.85,9,59,40.7
ngc523,1,25,20.73,34,1,29.8
ngc524,1,24,47.72,9,32,19.8
ngc525,1,24,52.91,9,42,12.0
ngc526,1,23,58.5,-35,7,21.0
ngc0526a,1,23,54.39,-35,3,55.9
ngc0526b,1,23,57.08,-35,4,9.4
ngc527,1,23,58.12,-35,6,54.2
ngc0527b,1,23,59.34,-35,7,38.5
ngc528,1,25,33.6,33,40,18.0
ngc529,1,25,40.4,34,42,48.0
ngc530,1,24,41.65,-1,35,13.5
ngc531,1,26,18.9,34,45,14.0
ngc532,1,25,17.34,9,15,50.8
ngc533,1,25,31.36,1,45,32.8
ngc534,1,24,44.63,-38,7,44.7
ngc535,1,25,31.15,-1,24,29.3
ngc536,1,26,21.78,34,42,10.9
ngc537,1,25,20.73,34,1,29.8
ngc538,1,25,26.05,-1,33,2.3
ngc539,1,25,21.73,-18,9,49.9
ngc540,1,27,8.9,-20,2,11.9
ngc541,1,25,44.31,-1,22,46.5
ngc542,1,26,30.9,34,40,31.0
ngc543,1,25,49.99,-1,17,34.1
ngc544,1,25,12.03,-38,5,40.3
ngc545,1,25,59.12,-1,20,24.8
ngc546,1,25,12.81,-38,4,8.7
ngc547,1,26,0.63,-1,20,42.6
ngc548,1,26,2.51,-1,13,32.2
ngc549,1,25,7.08,-38,0,27.9
ngc550,1,26,42.55,2,1,20.5
ngc551,1,27,40.66,37,10,58.5
ngc552,1,26,10.15,33,24,21.1
ngc553,1,26,12.6,33,24,18.0
ngc554,1,27,9.6,-22,43,30.0
ngc0554a,1,27,9.7,-22,43,28.8
ngc0554b,1,27,9.56,-22,43,32.6
ngc555,1,27,11.81,-22,45,43.8
ngc556,1,27,12.61,-22,41,51.9
ngc557,1,26,25.15,-1,38,19.4
ngc558,1,27,16.17,-1,58,15.2
ngc559,1,29,33.17,63,18,5.2
ngc560,1,27,25.42,-1,54,46.7
ngc561,1,28,18.76,34,18,31.1
ngc562,1,28,29.26,48,23,13.5
ngc563,1,25,21.73,-18,9,49.9
ngc564,1,27,48.21,-1,52,46.3
ngc565,1,28,10.18,-1,18,21.7
ngc566,1,29,2.96,32,19,56.1
ngc567,1,27,2.4,-10,15,54.9
ngc568,1,27,57.01,-35,43,3.7
ngc569,1,29,7.16,11,7,53.3
ngc570,1,28,58.64,-0,56,56.4
ngc571,1,29,55.98,32,30,4.8
ngc572,1,28,36.42,-39,18,26.3
ngc573,1,30,49.35,41,15,26.3
ngc574,1,29,3.08,-35,35,56.1
ngc575,1,30,46.64,21,26,25.5
ngc576,1,28,57.67,-51,35,55.2
ngc577,1,30,40.71,-1,59,39.7
ngc578,1,30,29.09,-22,40,2.5
ngc579,1,31,46.49,33,36,56.0
ngc580,1,30,40.71,-1,59,39.7
ngc581,1,33,21.81,60,39,28.8
ngc582,1,31,58.05,33,28,35.5
ngc583,1,29,44.15,-18,20,21.9
ngc584,1,31,20.75,-6,52,5.0
ngc585,1,31,42.14,-0,55,59.9
ngc586,1,31,36.85,-6,53,37.5
ngc587,1,32,33.33,35,21,30.9
ngc588,1,32,45.94,30,38,51.1
ngc589,1,32,39.94,-12,2,33.7
ngc590,1,33,40.92,44,55,43.3
ngc591,1,33,31.27,35,40,5.7
ngc592,1,33,11.69,30,38,41.8
ngc593,1,32,20.76,-12,21,16.0
ngc594,1,32,56.91,-16,32,9.6
ngc595,1,33,33.83,30,41,29.6
ngc596,1,32,52.08,-7,1,54.6
ngc597,1,32,14.85,-33,29,49.5
ngc598,1,33,50.89,30,39,36.8
ngc599,1,32,53.78,-12,11,28.5
ngc600,1,33,5.3,-7,18,41.1
